molregno	canonical_smiles	Papp_in_cm_sec
1783365	CC(Oc1ccccc1)c1cc(C(=O)N(C)CCO)cn2c(=O)cc(N3CCOCC3)nc12	5.0000000000000004e-8
421394	O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H]1O	5.0000000000000004e-8
255378	CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1	5.0000000000000004e-8
2292591	C/C(=N\NC(=N)N)c1sc(-c2ccc(C#CC3CC3)cc2)nc1C	5.0000000000000004e-8
154292	COc1cc(C(=O)NCC2CCN(c3ccncc3)CC2)cc(OCCc2ccc(Cl)cc2Cl)c1Cl	5.1e-8
255378	CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1	5.17e-8
1569839	CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)NS(=O)(=O)c3ccc(F)cc3)CC2)nc1C(F)(F)F	5.3e-8
338849	CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C)C(=O)NCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(N)=O	5.4e-8
1569853	CCOC(=O)c1cc(C#N)c(N2CCN(C(=O)NS(=O)(=O)c3ccc(Cl)s3)CC2)nc1C	5.8e-8
10423	O=P(O)(O)C(Cl)(Cl)P(=O)(O)O	5.9e-8
422242	Cc1cc(COc2ccc(C(=O)N[C@@H]3CCCO[C@@H]3C(=O)NO)cc2)c2ccccc2n1	6e-8
427445	CC(C)(C)CCn1nc(-c2cccs2)c(O)c(C2=NS(=O)(=O)c3cc(NS(C)(=O)=O)ccc3N2)c1=O	6e-8
1831893	CS(=O)(=O)NC(=O)C1CN(CCCC(=O)O)c2cccc(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)c2O1	6e-8
1831894	O=C(O)CCCN1CC(C(=O)NS(=O)(=O)c2ccccc2)Oc2c(NC(=O)c3ccc(OCCCCc4ccccc4)cc3)cccc21	6e-8
1843022	CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](C(C)C)NC(=O)CNC1=O	6e-8
2121634	Cc1cc(CN(C)C(CC(=O)O)c2ccc(Cl)cc2)ccc1OCCn1c(=O)ccn(C)c1=O	6e-8
2215972	N[C@@H]1CCC=C(c2ccc(F)cc2)[C@H]1COc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl	6e-8
2215972	N[C@@H]1CCC=C(c2ccc(F)cc2)[C@H]1COc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl	6e-8
255378	CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1	6.1e-8
255378	CC(C)(C)NCC(O)COc1ccc(NC(=O)NC2CCCCC2)cc1	6.1e-8
